DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
24,4,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,2.0,2.0,0.321,16.0,False,1.0
1,3,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,1.0,1.0,0.0,3.0,False,2.0
4,2,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,5.0,5.0,0.509,7.0,False,3.0
15,4,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,15.0,16.0,2.2439999999999998,2.0,False,4.0
19,1,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,6.0,6.0,0.658,4.0,False,5.0
9,10,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,7.0,8.0,1.004,14.0,False,6.0
13,9,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,9.0,10.0,1.494,9.0,False,7.0
27,9,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,8.0,9.0,1.165,10.0,False,8.0
3,2,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,19.0,7.0,0.924,5.0,False,9.0
26,8,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,10.0,11.0,1.603,13.0,False,10.0
17,8,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,12.0,13.0,1.826,11.0,False,11.0
20,5,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,18.0,15.0,1.814,19.0,False,12.0
14,6,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,14.0,15.0,2.182,12.0,False,13.0
10,7,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,17.0,18.0,2.8810000000000002,17.0,False,14.0
7,5,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,20.0,19.0,3.1390000000000002,15.0,False,15.0
6,7,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,16.0,17.0,2.253,18.0,False,16.0
18,1,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,4.0,4.0,0.448,6.0,False,17.0
2,3,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,3.0,3.0,0.44,1.0,False,18.0
12,10,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,13.0,14.0,2.039,8.0,False,19.0
8,6,2024,17,61,8,0.0,0.0,20.924999999999997,22.225,39.0,11.0,12.0,1.67,15.0,True,20.0
